StartDate,EndDate,Count,Tickers,Names
2024-07-29,2024-12-20,10,AAPL|AMZN|AVGO|COST|GOOG|GOOGL|META|MSFT|NVDA|TSLA,"APPLE INC.|AMAZON.COM INC|BROADCOM INC.|COSTCO WHOLESALE|ALPHABET CL C CAP|ALPHABET CL A CMN|META PLATFORMS, INC.|MICROSOFT CORP|NVIDIA CORPORATION|TESLA, INC."
2024-12-23,2025-09-19,9,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NVDA|TSLA,"APPLE INC.|AMAZON.COM INC|BROADCOM INC.|ALPHABET CL C CAP|ALPHABET CL A CMN|META PLATFORMS, INC.|MICROSOFT CORP|NVIDIA CORPORATION|TESLA, INC."
2025-09-22,2025-12-19,9,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NFLX|NVDA,"APPLE INC.|AMAZON.COM INC|BROADCOM INC.|ALPHABET CL C CAP|ALPHABET CL A CMN|META PLATFORMS, INC.|MICROSOFT CORP|NETFLIX, INC.|NVIDIA CORPORATION"
2025-12-22,2026-08-07,8,AAPL|AMZN|AVGO|GOOG|GOOGL|MSFT|NVDA|TSLA,"APPLE INC.|AMAZON.COM INC|BROADCOM INC.|ALPHABET CL C CAP|ALPHABET CL A CMN|MICROSOFT CORP|NVIDIA CORPORATION|TESLA, INC."
