Date,Count,Top,BufferRule,Type,Tickers,Weights,PriceTickers
2010-06-21,10,AAPL,False,Rebal,AAPL|MSFT|GOOG|QCOM|ORCL|CSCO|INTC|TEVA|RIMM|GILD,0.300000|0.118524|0.112343|0.105792|0.074212|0.073034|0.063459|0.059252|0.047660|0.045723,AAPL|BB|CSCO|GILD|GOOG|INTC|MSFT|ORCL|QCOM|TEVA
2010-09-20,10,AAPL,False,Rebal,AAPL|QCOM|GOOG|MSFT|ORCL|AMZN|CSCO|TEVA|INTC|GILD,0.300000|0.119292|0.109209|0.108528|0.082557|0.064466|0.063593|0.057264|0.052972|0.042120,AAPL|AMZN|CSCO|GILD|GOOG|INTC|MSFT|ORCL|QCOM|TEVA
2010-12-20,10,AAPL,False,Recon,AAPL|QCOM|GOOG|MSFT|ORCL|AMZN|INTC|CSCO|TEVA|SBUX,0.300000|0.123732|0.115366|0.107092|0.085820|0.070468|0.053605|0.051762|0.048290|0.043866,AAPL|AMZN|CSCO|GOOG|INTC|MSFT|ORCL|QCOM|SBUX|TEVA
2011-03-21,10,AAPL,False,Rebal,AAPL|QCOM|GOOG|MSFT|ORCL|AMZN|INTC|SBUX|CSCO|TEVA,0.300000|0.137926|0.114856|0.100237|0.087495|0.064999|0.052387|0.048336|0.047147|0.046617,AAPL|AMZN|CSCO|GOOG|INTC|MSFT|ORCL|QCOM|SBUX|TEVA
2011-06-20,10,AAPL,False,Rebal,AAPL|MSFT|ORCL|GOOG|INTC|QCOM|AMZN|CSCO|AMGN|CMCSA,0.232768|0.163325|0.128587|0.097998|0.089189|0.071552|0.067874|0.066290|0.043021|0.039394,AAPL|AMGN|AMZN|CMCSA|CSCO|GOOG|INTC|MSFT|ORCL|QCOM
2011-09-19,10,AAPL,False,Rebal,AAPL|MSFT|ORCL|GOOG|INTC|AMZN|CSCO|QCOM|AMGN|CMCSA,0.272334|0.162768|0.104807|0.099083|0.082183|0.078320|0.064788|0.064356|0.037291|0.034069,AAPL|AMGN|AMZN|CMCSA|CSCO|GOOG|INTC|MSFT|ORCL|QCOM
2011-12-19,9,AAPL,True,Recon,AAPL|MSFT|GOOG|ORCL|INTC|CSCO|QCOM|AMZN|AMGN,0.300000|0.200816|0.148202|0.135869|0.113832|0.091281|0.003333|0.003333|0.003333,AAPL|AMGN|AMZN|CSCO|GOOG|INTC|MSFT|ORCL|QCOM
2012-03-19,9,AAPL,True,Rebal,AAPL|MSFT|GOOG|ORCL|INTC|QCOM|CSCO|AMZN|AMGN,0.300000|0.221880|0.132365|0.123808|0.119749|0.092199|0.003333|0.003333|0.003333,AAPL|AMGN|AMZN|CSCO|GOOG|INTC|MSFT|ORCL|QCOM
2012-06-18,9,AAPL,True,Rebal,AAPL|MSFT|GOOG|INTC|ORCL|QCOM|AMZN|CSCO|CMCSA,0.300000|0.225359|0.134630|0.123608|0.119321|0.087082|0.003333|0.003333|0.003333,AAPL|AMZN|CMCSA|CSCO|GOOG|INTC|MSFT|ORCL|QCOM
2012-09-24,9,AAPL,True,Rebal,AAPL|MSFT|GOOG|ORCL|INTC|QCOM|AMZN|CSCO|CMCSA,0.300000|0.213463|0.162293|0.130176|0.094383|0.089685|0.003333|0.003333|0.003333,AAPL|AMZN|CMCSA|CSCO|GOOG|INTC|MSFT|ORCL|QCOM
