Date,Count,Top,Type,Tickers,Weights,PriceTickers
2018-03-19,7,AAPL,Rebal,AAPL|AMZN|MSFT|FB|GOOG|GOOGL|INTC,0.243320|0.199435|0.192262|0.109915|0.102774|0.088109|0.064185,AAPL|AMZN|GOOG|GOOGL|INTC|META|MSFT
2018-06-18,7,AAPL,Rebal,AAPL|AMZN|MSFT|FB|GOOG|GOOGL|INTC,0.227117|0.209471|0.192689|0.119154|0.102289|0.088142|0.061139,AAPL|AMZN|GOOG|GOOGL|INTC|META|MSFT
2018-09-24,7,AAPL,Rebal,AAPL|AMZN|MSFT|GOOG|FB|GOOGL|CSCO,0.249215|0.220489|0.205494|0.095941|0.093226|0.082398|0.053238,AAPL|AMZN|CSCO|GOOG|GOOGL|META|MSFT
2018-12-24,7,MSFT,Recon,MSFT|AAPL|AMZN|GOOG|FB|GOOGL|INTC,0.223986|0.220066|0.203413|0.105989|0.092843|0.091333|0.062371,AAPL|AMZN|GOOG|GOOGL|INTC|META|MSFT
2019-03-18,7,MSFT,Rebal,MSFT|AMZN|AAPL|GOOG|FB|GOOGL|INTC,0.221904|0.213062|0.210045|0.102456|0.096330|0.090456|0.065747,AAPL|AMZN|GOOG|GOOGL|INTC|META|MSFT
2019-06-24,7,MSFT,Rebal,MSFT|AMZN|AAPL|FB|GOOG|GOOGL|CSCO,0.240737|0.216685|0.205368|0.107031|0.089342|0.078676|0.062162,AAPL|AMZN|CSCO|GOOG|GOOGL|META|MSFT
2019-09-23,7,MSFT,Rebal,MSFT|AAPL|AMZN|FB|GOOG|GOOGL|INTC,0.238735|0.222122|0.198485|0.101949|0.097053|0.085422|0.056233,AAPL|AMZN|GOOG|GOOGL|INTC|META|MSFT
2019-12-23,7,AAPL,Recon,AAPL|MSFT|AMZN|FB|GOOGL|GOOG|INTC,0.247223|0.235265|0.174162|0.097207|0.090967|0.090786|0.064390,AAPL|AMZN|GOOG|GOOGL|INTC|META|MSFT
2020-03-23,7,MSFT,Rebal,MSFT|AAPL|AMZN|GOOG|GOOGL|FB|INTC,0.239322|0.229994|0.217646|0.083744|0.083604|0.082222|0.063469,AAPL|AMZN|GOOG|GOOGL|INTC|META|MSFT
2020-06-22,7,AAPL,Rebal,AAPL|MSFT|AMZN|FB|GOOGL|GOOG|INTC,0.246225|0.240770|0.214263|0.091055|0.079055|0.077259|0.051374,AAPL|AMZN|GOOG|GOOGL|INTC|META|MSFT
2020-09-21,7,AAPL,Rebal,AAPL|MSFT|AMZN|FB|TSLA|GOOGL|GOOG,0.268967|0.218977|0.211852|0.085237|0.076313|0.070443|0.068210,AAPL|AMZN|GOOG|GOOGL|META|MSFT|TSLA
2020-12-21,8,AAPL,Recon,AAPL|MSFT|AMZN|TSLA|FB|GOOG|GOOGL|NVDA,0.256867|0.198281|0.189540|0.089818|0.077265|0.067602|0.061442|0.059185,AAPL|AMZN|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2021-03-22,8,AAPL,Rebal,AAPL|MSFT|AMZN|TSLA|FB|GOOG|GOOGL|NVDA,0.238212|0.204680|0.180148|0.091520|0.081198|0.076786|0.070231|0.057226,AAPL|AMZN|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2021-06-21,8,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG|FB|TSLA|GOOGL|NVDA,0.227281|0.203628|0.179321|0.084248|0.081964|0.076193|0.075429|0.071937,AAPL|AMZN|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2021-09-20,8,AAPL,Rebal,AAPL|MSFT|AMZN|TSLA|GOOG|FB|GOOGL|NVDA,0.223842|0.209519|0.161000|0.085755|0.084331|0.080328|0.079134|0.076091,AAPL|AMZN|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2021-12-20,7,AAPL,Recon,AAPL|MSFT|AMZN|FB|NVDA|GOOG|GOOGL,0.258665|0.223082|0.157398|0.107103|0.090579|0.084047|0.079126,AAPL|AMZN|GOOG|GOOGL|META|MSFT|NVDA
2022-03-21,7,AAPL,Rebal,AAPL|MSFT|AMZN|NVDA|GOOG|GOOGL|FB,0.271595|0.225692|0.165391|0.094652|0.086695|0.082388|0.073586,AAPL|AMZN|GOOG|GOOGL|META|MSFT|NVDA
2022-06-20,6,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|NVDA,0.306752|0.266827|0.155690|0.097393|0.092849|0.080488,AAPL|AMZN|GOOG|GOOGL|MSFT|NVDA
2022-09-19,6,AAPL,Rebal,AAPL|MSFT|AMZN|GOOG|GOOGL|NVDA,0.339936|0.249701|0.173894|0.087637|0.084621|0.064210,AAPL|AMZN|GOOG|GOOGL|MSFT|NVDA
2022-12-19,7,MSFT,Recon,MSFT|AAPL|AMZN|GOOG|GOOGL|NVDA|TSLA,0.278124|0.263896|0.134985|0.084539|0.083892|0.080824|0.073739,AAPL|AMZN|GOOG|GOOGL|MSFT|NVDA|TSLA
2023-03-20,7,MSFT,Rebal,MSFT|AAPL|AMZN|NVDA|GOOGL|GOOG|TSLA,0.263626|0.261667|0.130802|0.108418|0.080272|0.079469|0.075746,AAPL|AMZN|GOOG|GOOGL|MSFT|NVDA|TSLA
2023-06-19,7,MSFT,Rebal,MSFT|AAPL|NVDA|AMZN|TSLA|GOOGL|GOOG,0.257806|0.237926|0.139133|0.130954|0.083987|0.076077|0.074116,AAPL|AMZN|GOOG|GOOGL|MSFT|NVDA|TSLA
2023-09-18,7,AAPL,Rebal,AAPL|MSFT|AMZN|NVDA|TSLA|GOOGL|GOOG,0.272104|0.239090|0.141241|0.106200|0.082342|0.080191|0.078832,AAPL|AMZN|GOOG|GOOGL|MSFT|NVDA|TSLA
2023-12-18,10,AAPL,Recon,AAPL|MSFT|AMZN|AVGO|NVDA|META|TSLA|GOOGL|GOOG|COST,0.205477|0.186795|0.107382|0.093330|0.083422|0.082073|0.081807|0.054202|0.052971|0.052541,AAPL|AMZN|AVGO|COST|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2024-03-18,10,MSFT,Rebal,MSFT|AAPL|NVDA|AMZN|META|AVGO|GOOGL|GOOG|COST|TSLA,0.188892|0.163410|0.134707|0.110403|0.105960|0.090211|0.053014|0.051293|0.051073|0.051037,AAPL|AMZN|AVGO|COST|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2024-06-24,10,MSFT,Rebal,MSFT|AAPL|NVDA|AMZN|AVGO|META|GOOGL|GOOG|COST|TSLA,0.175842|0.168676|0.153544|0.102060|0.100721|0.091925|0.055636|0.053668|0.051347|0.046580,AAPL|AMZN|AVGO|COST|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2024-09-23,10,AAPL,Rebal,AAPL|MSFT|NVDA|AVGO|AMZN|META|TSLA|COST|GOOGL|GOOG,0.174767|0.163551|0.144749|0.105066|0.103283|0.099568|0.061359|0.053300|0.048131|0.046226,AAPL|AMZN|AVGO|COST|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2024-12-23,9,AAPL,Recon,AAPL|NVDA|MSFT|AMZN|AVGO|TSLA|META|GOOGL|GOOG,0.195196|0.173034|0.163701|0.119714|0.090795|0.079014|0.066151|0.057529|0.054867,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2025-03-24,9,AAPL,Rebal,AAPL|NVDA|MSFT|AMZN|AVGO|META|TSLA|GOOGL|GOOG,0.193723|0.173075|0.170723|0.125850|0.086622|0.079176|0.059116|0.057142|0.054573,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2025-06-23,9,MSFT,Rebal,MSFT|NVDA|AAPL|AMZN|AVGO|META|TSLA|GOOGL|GOOG,0.190322|0.185344|0.158569|0.116609|0.103978|0.079908|0.066866|0.050655|0.047749,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NVDA|TSLA
2025-09-22,9,NVDA,Rebal,NVDA|MSFT|AAPL|AVGO|AMZN|META|GOOGL|GOOG|NFLX,0.194546|0.166739|0.165707|0.114916|0.105854|0.072364|0.064052|0.059874|0.055949,AAPL|AMZN|AVGO|GOOG|GOOGL|META|MSFT|NFLX|NVDA
2025-12-22,8,NVDA,Recon,NVDA|AAPL|MSFT|AMZN|TSLA|GOOGL|GOOG|AVGO,0.205002|0.183889|0.165525|0.112152|0.099293|0.082774|0.077311|0.074055,AAPL|AMZN|AVGO|GOOG|GOOGL|MSFT|NVDA|TSLA
2026-03-23,8,NVDA,Rebal,NVDA|AAPL|MSFT|AMZN|TSLA|GOOGL|GOOG|AVGO,0.214748|0.185772|0.143097|0.113503|0.095642|0.088484|0.081816|0.076937,AAPL|AMZN|AVGO|GOOG|GOOGL|MSFT|NVDA|TSLA
2026-06-22,8,NVDA,Rebal,NVDA|AAPL|MSFT|AMZN|GOOGL|TSLA|AVGO|GOOG,0.209285|0.186878|0.136376|0.118509|0.090324|0.088722|0.086405|0.083500,AAPL|AMZN|AVGO|GOOG|GOOGL|MSFT|NVDA|TSLA
