Date,Close
2000-06-30,100.00000000000001
2000-07-03,101.32764422561652
2000-07-05,97.99431560281958
2000-07-06,101.73583203476284
2000-07-07,103.18725341921193
2000-07-10,100.58323756462768
2000-07-11,100.20920733479869
2000-07-12,102.18790207696533
2000-07-13,103.2042170092023
2000-07-14,105.12353499196888
2000-07-17,105.37477228339216
2000-07-18,103.50860316842864
2000-07-19,99.70884092313068
2000-07-20,102.91957457344452
2000-07-21,100.01279962456155
2000-07-24,98.18833693243285
2000-07-25,99.243676954956
2000-07-26,98.46419715530972
2000-07-27,98.36583949334377
2000-07-28,93.9659216672555
2000-07-31,96.41496484841542
2000-08-01,93.74394297552058
2000-08-02,92.27711073844564
2000-08-03,95.23127830905045
2000-08-04,94.05611072846223
2000-08-07,94.96584719291612
2000-08-08,95.73847693557227
2000-08-09,97.90774983637566
2000-08-10,94.22998390678035
2000-08-11,95.52501388699899
2000-08-14,97.08920214483038
2000-08-15,96.67398276880019
2000-08-16,96.43414608548618
2000-08-17,97.87636479455254
2000-08-18,97.9139782066164
2000-08-21,99.4898336995664
2000-08-22,99.4577738659386
2000-08-23,101.66894880463819
2000-08-24,101.3060873401843
2000-08-25,99.93268696121861
2000-08-28,100.98378724735225
2000-08-29,101.15980711809286
2000-08-30,100.46495948560215
2000-08-31,102.09022963229302
2000-09-01,101.74915833940304
2000-09-05,98.09281203035658
2000-09-06,95.13874510052061
2000-09-07,97.27072200284172
2000-09-08,94.73409869496827
2000-09-11,92.8495218783781
2000-09-12,91.5412883817052
2000-09-13,90.9249437684125
2000-09-14,89.00544759136723
2000-09-15,87.96247313675819
2000-09-18,85.26308896289314
2000-09-19,89.34116592582538
2000-09-20,90.82235891018955
2000-09-21,89.08361839295837
2000-09-22,81.67040631636456
2000-09-25,78.0055090059073
2000-09-26,76.7417905070075
2000-09-27,77.03902032138583
2000-09-28,78.63888066158616
2000-09-29,74.79537203574579
2000-10-02,73.65168933504246
2000-10-03,72.88223061635928
2000-10-04,74.25881374754361
2000-10-05,73.2720827963857
2000-10-06,72.19678854596846
2000-10-09,69.94273600950179
2000-10-10,68.18432161980766
2000-10-11,67.7126887441173
2000-10-12,67.26470448552887
2000-10-13,71.49208408898495
2000-10-16,66.8785133878
2000-10-17,67.18065202417174
2000-10-18,67.68575166337173
2000-10-19,77.13060191121501
2000-10-20,78.80516428154087
2000-10-23,76.79910393214234
2000-10-24,75.39398794215211
2000-10-25,72.93987460792212
2000-10-26,77.47401162726742
2000-10-27,78.48004077808281
2000-10-30,77.22665259045836
2000-10-31,79.8750853970961
2000-11-01,79.34545527817016
2000-11-02,82.2594538776139
2000-11-03,81.38875453457176
2000-11-06,81.51948281507
2000-11-07,82.57609345526654
2000-11-08,78.19307435973755
2000-11-09,78.76564577837674
2000-11-10,73.47955020895579
2000-11-13,73.75999948589214
2000-11-14,77.51709428419515
2000-11-15,78.58871672196042
2000-11-16,76.14920937074011
2000-11-17,77.73240675658238
2000-11-20,75.95553740094734
2000-11-21,78.09916481932734
2000-11-22,76.16545346676295
2000-11-24,79.30256283529783
2000-11-27,78.98087176985752
2000-11-28,76.1896104328401
2000-11-29,75.9450657324575
2000-11-30,68.22915345094444
2000-12-01,66.25380101720506
2000-12-04,64.32201180066265
2000-12-05,70.41200200196576
2000-12-06,66.51201897624075
2000-12-07,64.39162181904841
2000-12-08,66.98167483960111
2000-12-11,71.51797387202355
2000-12-12,71.00415695185102
2000-12-13,68.4545568599728
2000-12-14,67.35498635924071
2000-12-15,61.75579087208126
2000-12-18,59.03451880144254
2000-12-19,57.07646585158984
2000-12-20,52.465518843779016
2000-12-21,54.2713714028196
2000-12-22,57.7953445970844
2000-12-26,57.547240503915646
2000-12-27,58.184614859800966
2000-12-28,56.36143001311981
2000-12-29,54.019738579360485
2001-01-02,51.032059513995165
2001-01-03,58.68434949010844
2001-01-04,58.151697125760116
2001-01-05,55.30864258536028
2001-01-08,55.901214371111784
2001-01-09,56.752793822613604
2001-01-10,57.067740355068516
2001-01-11,58.7621501829604
2001-01-12,57.538585419101146
2001-01-16,56.87968408150209
2001-01-17,57.235676999656654
2001-01-18,59.855008354500406
2001-01-19,61.859423635141404
2001-01-22,62.52777458147549
2001-01-23,64.09567360011633
2001-01-24,64.89876788494496
2001-01-25,62.73969550170107
2001-01-26,64.95432241923629
2001-01-29,66.10492932428846
2001-01-30,65.6498913928773
2001-01-31,64.19255780436885
2001-02-01,65.48500050096708
2001-02-02,63.456449604624595
2001-02-05,63.27095845649133
2001-02-06,63.634134121755366
2001-02-07,63.489342933643925
2001-02-08,61.67584477925897
2001-02-09,58.4725148285958
2001-02-12,59.67151200176514
2001-02-13,58.01784972374378
2001-02-14,59.378286019024046
2001-02-15,60.93263913624773
2001-02-16,58.20608562212645
2001-02-20,55.11639216861101
2001-02-21,54.100635298204466
2001-02-22,53.134963666481575
2001-02-23,53.197849605912026
2001-02-26,54.19784060855243
2001-02-27,52.14647825030099
2001-02-28,51.611098924517535
2001-03-01,53.19744866453935
2001-03-02,51.229206829885555
2001-03-05,52.57151803454048
2001-03-06,53.526684378934796
2001-03-07,54.33350026012839
2001-03-08,53.36144333861372
2001-03-09,49.45262311782706
2001-03-12,45.61188203068516
2001-03-13,48.69487429249134
2001-03-14,47.919154249123245
2001-03-15,47.75001979688111
2001-03-16,47.52473423502579
2001-03-19,48.63906028478702
2001-03-20,46.09437493448371
2001-03-21,46.55734054865866
2001-03-22,49.0582149830604
2001-03-23,49.161384926654755
2001-03-26,48.72679800545738
2001-03-27,51.12777083806233
2001-03-28,48.03117218314821
2001-03-29,46.58236636293333
2001-03-30,46.72141792207
2001-04-02,46.330762750822934
2001-04-03,44.433007026963715
2001-04-04,42.92633545504215
2001-04-05,46.52768785791772
2001-04-06,43.72304745171498
2001-04-09,42.36720155392448
2001-04-10,45.55717007558953
2001-04-11,47.37752411376769
2001-04-12,48.61607372894779
2001-04-16,46.88399459059249
2001-04-17,47.43383526241503
2001-04-18,52.602433451692875
2001-04-19,56.03509346514764
2001-04-20,55.63223624049656
2001-04-23,52.51831438631883
2001-04-24,51.953711022891305
2001-04-25,52.90888438482032
2001-04-26,52.98470383692302
2001-04-27,52.94063289678739
2001-04-30,53.659684924321894
2001-05-01,53.37737467987447
2001-05-02,53.87127901676387
2001-05-03,54.22419313853946
2001-05-04,55.717171093991894
2001-05-07,55.73522632859052
2001-05-08,56.355904708307094
2001-05-09,54.88327975196086
2001-05-10,53.98584075777635
2001-05-11,53.060100875538666
2001-05-14,52.57732792418152
2001-05-15,52.696454586365626
2001-05-16,52.06977010116198
2001-05-17,52.00393931231295
2001-05-18,54.311347641776955
2001-05-21,56.57471806538286
2001-05-22,56.424165537218286
2001-05-23,55.34549112987073
2001-05-24,56.550493045216506
2001-05-25,55.5538482372249
2001-05-29,54.340089570409155
2001-05-30,52.36512921895573
2001-05-31,52.74536073209985
2001-06-01,54.15141608506139
2001-06-04,54.31623188793812
2001-06-05,55.160733354398054
2001-06-06,53.682985845856216
2001-06-07,55.02888629748365
2001-06-08,54.00517722013849
2001-06-11,52.97995095852196
2001-06-12,52.599293554081186
2001-06-13,50.94027097344066
2001-06-14,49.16483570230528
2001-06-15,48.7152037328974
2001-06-18,48.38307181362885
2001-06-19,49.063989039476986
2001-06-20,50.09394242776256
2001-06-21,50.75220176925285
2001-06-22,50.72346617547359
2001-06-25,50.976783330316394
2001-06-26,51.64376984764841
2001-06-27,51.810655663245385
2001-06-28,53.68409982373812
2001-06-29,53.41367168412889
2001-07-02,53.30947920240447
2001-07-03,54.467114575949566
2001-07-05,52.91812067402641
2001-07-06,50.82688186177307
2001-07-09,51.449096548352045
2001-07-10,49.71483186929177
2001-07-11,50.24386063187038
2001-07-12,54.0273560442225
2001-07-13,53.96557860085455
2001-07-16,53.185349303794254
2001-07-17,53.71777186585809
2001-07-18,52.36216932701388
2001-07-19,53.91137615146672
2001-07-20,52.88538294834231
2001-07-23,51.03291490994349
2001-07-24,50.40022952752755
2001-07-25,51.63856415473843
2001-07-26,51.468869741031114
2001-07-27,51.4725493502343
2001-07-30,51.423695627152725
2001-07-31,51.30674122250826
2001-08-01,52.06788594743889
2001-08-02,53.35661815978825
2001-08-03,52.754542030918444
2001-08-06,51.673619985889495
2001-08-07,51.88193791271694
2001-08-08,50.36527769377386
2001-08-09,50.22252779070741
2001-08-10,50.23610582178467
2001-08-13,50.95961953771156
2001-08-14,50.72858487834132
2001-08-15,49.59526269832754
2001-08-16,50.30254596340058
2001-08-17,47.97163163163354
2001-08-20,48.709278417966736
2001-08-21,47.01693122206938
